Lemma (見出し語)	Rank	Frequency (頻度)	Japanese (by Google)	Commentary (解説)	cf. code	Category code
Columbia	2,928	661	コロンビア	District of Columbiaコロンビア特別区 2. アメリカ合衆国の古名 3. サウスカロライナ州の都市他 4. Columbia University(New York市). (Colombia,コロンビア共和国は別語)	625	2
Columbian	24,198	23	コロンブスの	コロンブスの. アメリカの		2
columbine	11,963	77	オダマキ	オダマキ(植物)		69
Columbus	5,775	246	コロンブス	Christopher Columbus. コロンブス. イタリア出身の探検家. 西廻り航路を発想. スペインのイサベル女王の支援を受け,1492年サン･サルバドル島を発見した		98
column	985	2,493	コラム	コラム. 特別記事. 囲み記事. 論説. 欄. 支柱. 縦の行		43
columnar	24,827	22	円柱状の	コラム状の. 円柱の. 円柱状に作った. 縦欄式に印刷した. 柱の		
columnist	3,809	451	コラムニスト	コラムニスト. 特別寄稿者		
COM	555	4,351	COM	インターネット上の代表的なドメイン名. 2. Company. 会社		95
coma	9,691	108	昏睡	(kóʊmə)pl. comae(-miː). 1. (天文)コマ. 彗星の頭部で核の周囲の星雲状のもの. 2. (植物学)種髪(しゆはつ)ワタなどの種子の綿毛. 3. (医学)昏睡(状態)		65
comatose	21,344	29	昏睡状態の	昏睡状態の		
comb	9,115	120	櫛	くしですく. くし. 波頭. 徹底的に捜す		
combat	3,974	425	戦闘	と戦う. 戦う. 論戦. と闘う		
combatant	15,752	49	戦闘員	戦闘員		23
combating	20,527	31	闘う	闘い		23
combative	20,935	30	闘争的な	闘争的な		23
combination	1,421	1,648	組み合わせ	結合. 組み合わせ		
combinatorial	13,799	61	組み合わせの	組み合わせの		
combine	1,294	1,807	コンバイン	を結合させる. 組み合わせる. 結合する		
combined	43,408	7	合わせた	一体とした. 結合した		
combining	18,918	36	合成	結合		
combo	11,328	84	コンボ	コンボ(小編成のジャズバンド)		45
combust	24,827	22	燃やす	燃やす	999	
combustible	35,353	11	可燃性の	燃えやすい. 可燃性の. 可燃性	999	
combustion	11,169	86	燃焼	燃焼. 激動. 騒動. 酸化	999	60
Comcast	22,636	26	コムキャスト	コムキャスト. ペンシルベニア州フィラデルフィアに本部を置くケーブルテレビ･情報通信･メディア企業		43
come	92	24,732	来る	来る. (イメージ:到達点に焦点:ある対象に近づいていく･くる)		
comeback	7,417	166	戻ってくる	復帰. 返り咲き. カムバック. 再起		
comedian	8,296	139	コメディアン	コメディアン		
comedic	23,649	24	喜劇の	喜劇の		
comedienne	50,313	5	コメディアン	喜劇女優. 女性コメディアン		43
comedy	2,767	715	コメディ	喜劇		
comely	43,408	7	器量のいい	美しい. みめよい. 顔立ちのよい. 器量のいい. ふさわしい		
comer	24,198	23	コー​​ナー	将来有望な人(物)		
comestible	46,471	6	食べられる	食料品		39
comet	15,371	51	彗星	(天体)すい星. 彗星. ほうき星		65
comeuppance	26,829	19	当然の報い	当然の罰(報い)	919	
comfort	3,304	558	コンフォート	を慰める. 元気付ける. 安心させる. 楽しみ	816	82
comfortable	2,425	862	快適	気持ちのよい. 快適な. 気楽な. 慰めとなる. 掛け布団	816	82
comfortably	10,168	100	楽に	気持よく		
comforter	23,649	24	慰安者	慰める物. 慰安者. おしゃぶり. 毛糸の襟巻き. 掛け布団	816	
comforting	11,169	86	慰める	元気づける. 励みになる	816	
comfy	13,139	66	快適な	(俗)comfortable快適な		31
comic	2,829	690	コミック	喜劇の. こっけいな. マンガ(の). 漫画		
comical	16,191	47	コミカル	おもしろい. こっけいな		
comically	20,935	30	こっけいに	こっけいに		
comin	27,590	18	やって来る	来るべき,次の(=coming)		
coming	22,636	26	到来	来たるべき. 次の		
comity	43,408	7	礼譲	礼譲. 礼節. the comity of nations. 国際礼譲(各国が他国の法律･制度を尊重する親交関係にあること)		23
comma	11,667	80	コンマ	コンマ		50
command	2,419	864	コマンド	指揮. 命令. 眼下に見おろす. 命令する. 値する		
commandant	40,852	8	司令官	司令官		23
commandeer	38,763	9	乗っ取る	徴発する. 徴用する. 奪いとる		12
commander	4,291	381	司令官	指揮者. 海軍中佐	306	23
commanding	12,240	74	指揮	堂々とした. 命令する		
commandment	10,423	96	おきて	(神の)おきて. 戒律		
commando	13,521	63	コマンド	特殊部隊		
commemorate	6,478	206	記念する	記念する. を祝う		
commemoration	24,198	23	記念	記念		
commemorative	21,344	29	記念の	記念の		
commence	8,373	137	始める	を開始する. 始まる. を始める		
commencement	18,064	39	開始	開始. 学位授与式		
commend	23,649	24	称賛する	ほめる. 推薦する		
commendable	26,829	19	立派	ほめるに足る. 立派な. 奇特		
commendation	40,852	8	表彰	推薦. 賞賛	642	
commensal	46,471	6	共生	食卓を共にする. (動植物が)片利共生的な. (異なる価値観･慣習を有する個人･集団と)共生する		
commensurate	18,353	38	相応の	同じ大きさの. 同量の. 同一基準の. 釣り合った. 比例した		
comment	567	4,276	コメント	論評する. 注釈. 論評. 意見		
commentariat	12,240	74	評論家	評論家		25
commentary	3,335	548	解説	注釈書. 注釈. 注解書		
commentator	5,419	268	コメンテーター	解説者		
commenter	20,527	31	評者	評者		
commerce	3,233	573	コマース	商業. 貿易. 交易. 交際. 商学. コマース		16
commercial	1,311	1,785	コマーシャル	コマーシャル. 民間放送の		43
commercialism	21,758	28	商業主義	コマーシャリズム. 商業主義. 商慣習		16
commercialization	23,649	24	商業化	商業化		
commercialize	46,471	6	商品化する	商業化する. 商品化する		
commercialized	20,935	30	商品化	商品化		
commercially	7,583	160	商業	商業上		
commie	19,875	33	共産党員	共産党員		19
commingle	35,353	11	混合する	混ざり合う		
commiserate	36,956	10	同情する	同情する. 気の毒に思う. あわれむ. 哀悼の意を示す		
commiseration	50,313	5	哀れみ	哀れみ. 同情		
commissar	50,313	5	人民委員	コミッサール. 共産党統制委員. 人民委員		21
commissary	46,471	6	物資配給所	物資配給所. 販売部. 売店. 兵站係将校. 代表者		23
commission	1,081	2,248	委員会	任務. 依頼. 委員会. 手数料		
commissioner	4,151	400	コミッショナー	コミッショナー. 委員		25
commit	1,613	1,429	コミット	(罪など)を犯す. をゆだねる. 委任する		14
commitment	2,339	904	コミットメント	献身. 傾倒. 約束		
committed	23,649	24	献身的な	献身的な	454	
committee	770	3,201	委員会	委員会. 委員		18
commode	50,313	5	トイレ	トイレ. 移動式洗面台. 寝室用便器. lavatoryの遠回しな言い方		
commoditization	28,448	17	コモディティ化	コモディティ化. 日用品化		
commodity	6,939	185	商品	生活必需品. 商品. 必需品. 日用品. 有用品. 物資		
commodore	18,353	38	准将	提督. 准将		23
common	657	3,768	一般	一般的な. 共通の		
commonality	22,636	26	共通性	共通性		
commoner	26,084	20	平民	一般人. 庶民. 大衆. 平民. 下院議員. 自費生. 普通学生. 共通の		
commonly	3,084	614	一般に	一般に. 通例. 下品に. 粗野に. 通俗に. 普通		
commonplace	10,986	88	ありふれた	普通の. 平凡な(こと). 陳腐な(ことば)	632	
commons	13,139	66	コモンズ	共有地. 公共用地		
Commonwealth	8,836	126	イギリス連邦	イギリス連邦		1
commotion	30,344	15	騒ぎ	動揺. 動乱. 興奮. 騒動. (cf. strikes,riots and civil commotions clause. 一揆暴動ストライキ担保特別約款(保険の特約))	983	
communal	12,550	71	公共	地方自治体の. 公共の. 全住民が共有する		21
commune	17,312	42	コミューン	親しく語る. コミューン. 人民公社		
communicable	38,763	9	通信	伝達可能な		95
communicate	3,292	561	通信する	知らせる. 通信する. 伝達する. 伝える		95
communication	1,391	1,689	通信	コミュニケーション. 意思の伝達		95
communicative	25,431	21	通信の	話し好きな		95
communicator	29,384	16	コミュニケーター	通報器. 通報者. 伝達者		95
communion	13,139	66	交わり	親交. 宗派		6
communique	40,852	8	コミュニケ	(仏語)公式声明. 公式発表		34
communism	7,085	179	共産主義	共産主義		19
communist	3,455	516	共産主義者	共産主義者		19
communitarian	30,344	15	共同体主義の	共同体主義の		19
community	584	4,162	コミュニティ	共同体. 生活共同体. 群生. 共同社会. 一般社会. 団体. 公衆		
commute	7,222	174	通勤	取りかえる. 切り替える. 換算する. 通勤･通学する		
commuted	27,590	18	減刑	減刑		
commuter	9,730	107	コミューター	通勤者		
comorbid	24,827	22	併存	併存		
comorbidity	15,752	49	併存疾患	併存疾患		91
Comoro	72,205	2	コモロ･イスラム連邦共和国	コモロ･イスラム連邦共和国 Federal Islamic Republic of the Comoros		1
comp	10,763	91	コンプ	植字工. 伴奏(者). 無料招待客. 植字工として働く. の伴奏をする. 組む. 無料招待にする		
compact	6,538	203	コンパクト	ぎっしり詰まった. コンパクトな. 小型車. 小型. (二国間または多国間の)盟約. 盟約を結ぶ		
compaction	23,649	24	コンパクション	圧縮. (生命科学)胚細胞緊密化. (心筋の)圧縮		78
companies	19,238	35	企業	企業		
companion	5,178	288	コンパニオン	対の片方. 仲間. 相手. 伴侶. 話し相手. 気の合った友	945	
companionable	50,313	5	人好きのする	人好きのする		
companionship	21,758	28	交際	交際. 交友. 仲間付き合い	945	
company	168	12,498	会社	会社. つきあい. 仲間		18
Compaq	14,880	54	コンパック	コンパック(コンピュータメーカー名)		96
comparability	23,649	24	比較可能性	比較可能性		
comparable	3,249	570	匹敵する	比較できる. 同等の		
comparably	29,384	16	同等	同等に		
comparative	3,812	450	比較の	匹敵する. 比較の. (文法)比較級		27
comparatively	11,080	87	比較的	比較的. かなり		
compare	422	5,569	比較する	比較する. をたとえる. 匹敵する. 比べられる		
comparison	955	2,568	比較	比較. たとえ		
compartment	5,143	290	コンパートメント	コンパートメント. 区画. 仕切り		
compartmentalization	24,827	22	区画化	区画化		
compartmentalize	35,353	11	区分する	を区切る		
compass	14,243	58	コンパス	を巡る. を取り巻く. コンパス. 周囲. 羅針盤. 範囲. 限界. 適度		63
compassion	7,191	175	思いやり	思いやり. 哀れみ. 同情		
compassionate	9,253	117	思いやりのある	あわれみ深い. 哀れに思う. 情け深い. 同情的な		82
compatibility	14,243	58	互換性	適合性. 一致		
compatible	7,251	173	互換性のある	両立できる. 矛盾のない. (ソフトウェアなどで)互換性がある		
compatriot	29,384	16	同胞	同胞. 同国人		
compel	8,296	139	強いる	強いる		
compelling	4,520	352	説得力のある	強制的な. 説得力のある. 切実な. 感動させずにおかない	546	
compendium	18,918	36	大要	概要. 大要. 要約. 概論		
compensate	5,310	276	補償する	に補償する. 補償する. 補正する. 補正を行なう		
compensation	3,493	506	補償	補償. 給与. 報酬. 代償. 補正. 補強		12
compensatory	9,960	103	代償	償いの. 賠償的な. 報酬の	738	
compete	1,787	1,264	競争する	競争する. 匹敵する	773	
competence	7,044	181	コンピテンス	能力. 権限		
competency	10,299	98	コンピテンシー	有能さ. コンピテンシー		
competent	5,327	275	有能な	有能な. 合法的な	955	
competition	1,844	1,225	競争	競争	773	
competitive	3,065	621	競争力のある	競争が激しい. 競争力がある	773	
competitively	26,084	20	競争的に	競争的に	773	
competitiveness	15,956	48	競争力	競争力	773	
competitor	3,288	562	競合他社	競争相手	773	
compilation	9,637	109	コンピレーション	編集. 編集物. 寄せ集め		
compile	4,836	319	コンパイル	を編集する. (資料など)を集める. (財産など)を作り上げる		
compiler	19,875	33	コンパイラ	コンパイラー. 編集者. 編者. 編纂者		95
complacency	17,841	40	自己満足	自己満足	462	
complacent	19,238	35	無関心な	自己満足の. 満足そうな. 悦に入って. ひとりよがりの	462	
complain	1,988	1,106	文句を言う	苦情を言う. 不満を言う	811	
complainant	35,353	11	原告	原告. 告訴人		
complaint	2,750	720	苦情	不平. グチ. 不満. (民事の)告訴. 病気	811	
complement	5,913	237	補数	補足. 全数量. 補足物. (文法)補語,補文,補数. (cf. complimentはお世辞(を言う))	209	27
complementarity	26,084	20	相補性	相補性		
complementary	5,530	261	補完的な	補完的な		
complementation	13,263	65	相補性	相補性		
complemented	18,353	38	補完	補完		
complete	671	3,693	完全な	完全な. 完成した. 全くの. を完成する	741	
completed	23,138	25	完成した	完成した		
completely	1,010	2,424	完全に	完全に	741	
completeness	16,407	46	完全	完全	741	
completion	5,789	245	完了	完了. 完全さ	741	
complex	706	3,507	複雑な	コンプレックス. 強迫観念. 固定概念. 合成物. 複合体. コンビナート. 総合ビル. 複合の. 複雑な		
complexed	23,138	25	複合化	複合化		
complexion	21,758	28	顔色	形勢. 外観		
complexity	3,527	500	複雑	複雑さ		
compliance	2,734	726	コンプライアンス	服従. 承諾. (要求などに)従うこと. 人の言いなりになること		
compliant	18,064	39	準拠した	従順な. 言いなりになる	800	
complicate	2,843	685	複雑な	面倒にする. を複雑にする. 困難にする	437	
complicated	7,020	182	複雑な	複雑にする	437	36
complication	3,599	488	合併症	厄介な問題. 混乱. 複雑な状態. 合併症. 紛糾. 複雑	437	91
complicit	30,344	15	共謀した	なあなあの		
complicity	17,312	42	共犯	連座. 共犯. 共謀		
compliment	7,857	151	お世辞	お世辞を言う. 誉める. 賛辞. お世辞. あいさつ. (cf. complementは補足. 補語,補数)	209	
complimentary	17,075	43	無料の	あいさつの. 無料の		
complimented	27,590	18	ほめる	ほめる		
comply	4,039	415	従う	(希望･要求などに)従う. 応じる		
component	1,438	1,627	コンポーネント	構成している. 成文. 成分		
comport	36,956	10	ふるまう	身を処する. ふるまう		
