英単語,訳,発音,解説,用例,用例・訳
crunch,噛み砕く,krʌnʧ,"…'を'カリカリ(ボリボリ)かむ 
〈砂利道・氷雪上など〉'を'バリバリ(ジャリジャリ)音を立てる(立てて進む),'を'ザクザク踏む 
カリカリ(ボリボリ)かむ 
バリバリ(ジャリジャリ,ザクザク)音を立てる(立てて進む) 
〈U〉〈C〉かみ砕くこと(音);踏み砕くこと(音),(砕いて)音を立てて進むこと 
《the~》(決断が必要な)危機,緊張 
〈U〉金融引締め",She could always call her parents when she was in a crunch.,彼女は困ったらいつも両親を呼ぶことができた。
crush,押しつぶす；粉砕する,krʌʃ,"…'を'『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 
…'を'『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 
(…に)…'を'押しつける《+『名』+『against』+『名』》;(…に)…'を'押し込む《+『名』+『into』+『名』》 
(…から)…'を'押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 
…'を'ぎゅっと抱きしめる 
…'を'打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 
『つぶれる』,ぺしゃんこになる;くしゃくしゃになる 
『砕ける』,粉々になる 
(…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 
〈C〉《単数形で》押し合いへし合い,殺到 
〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 
〈U〉《英》(押しつぶして出した)果汁 
〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手",He crushed the box.,彼はその箱を壊した。
cumulative,累積的な,ˈkjumjələtɪv,"しだいに増加する,累加する,累積的な","Over time such cumulative advantageous variations will bring about significant changes which will lead to the creation of a new species out of the old one.
","長い 期間 たつ と 、 こうした 累積 し た 有利 な 変異 は 、 古い 種 から の 新しい 種 の 創造 に 導く よう な 重大 な 変化 を もたらす だろ う 。
"
curb,縁石,kɜrb,"(馬の)くつわ鎖,止めぐつわ 
拘束,抑制 
《米》(歩道を車道と区分するため縁にそって並べた)縁石(《英》kerb) 
(止めぐつわで)〈馬〉'を'制御する 
〈感情・欲望など〉'を'抑制する","If you have any opinions concerning traffic calming devices (humps, curb extensions, etc.) please write them.",車の速度を落とす装置（ハンプや狭さく）について、意見があったら書いてください。
cure,治す,kjʊr,(フランスの)主任司祭,The medicine cured him of his illness.,薬が彼の病気を治した。
customize,カスタマイズする；好みに合わせて変更する,ˈkʌstəˌmaɪz,…'を'注文どおりに作る,"As it is eaten across Japan today, it is getting customized in each region.
","現在は日本全国で食されるため、地域性が出始めている。
"
cyclical,循環的,ˈsaɪklɪkəl,"周期的な,循環する","Article 10  Local governments, pursuant to the Basic Principles, are responsible for implementing necessary measures to ensure proper cyclical use and disposal of circulative resources, as well as for formulating and implementing policies and measures in accordance with the natural and social conditions of the local governments' jurisdiction, based on proper role-sharing with the State, towards the establishment of a Sound Material-Cycle Society.
","第十条　地方公共団体は、基本原則にのっとり、循環資源について適正に循環的な利用及び処分が行われることを確保するために必要な措置を実施するほか、循環型社会の形成に関し、国との適切な役割分担を踏まえて、その地方公共団体の区域の自然的社会的条件に応じた施策を策定し、及び実施する責務を有する。
"
dash,急いでいく；突進する,dæʃ,"《副詞[句]を伴っで》『突進する』 
(…に)『衝突する』,激しくぶつかる《+『against』(『into, onto』)+『名』》 
(…に)…'を'『打ちつける』,投げつける《+『名』+『against』(『into, to』)+『名』》;…‘に'打ちつける 
〈元気・希望など〉'を'くじく,〈人〉'を'落胆させる(depress) 
(…に)〈木など〉'を'ぶっ掛ける,浴びせる《+『名』+『in』(『on, over』)+『名』》;(水などを)…‘に'ぶっかける《+『名』+『with』+『名』》 
〈C〉《a~》(…への)『突進』,疾走(rush)《+『at』(『for』)+『名』》 
《the~》短距離競走 
《the~》(…に)打ちつける音《+『against』(『on』)+『名』》 
〈C〉(元気・希望などを)くじくもの,(…の)障害《+『to』+『名』(do『ing』)》 
〈C〉(混合・添加する)(…の)少量《+『of』+『名』》 
〈U〉映気;(…する)気力《+『to』 do》 
〈C〉ダッシュ(一の符号) 
〈C〉モールス信号の長音",She dashed downstairs.,彼女は階段を駆け下りた。
deadline,締め切り,ˈdɛˌdlaɪn,最終期限;(新聞・雑誌などの)原稿〆切（締切）時間・最終期限,There will be hell to pay if I don't make this deadline.,もし期限切れになったら、大変なことになるよ。
debenture,債券,dəˈbɛnʧər,社債券,"(vii) Short-term Norinchukin Bank debentures prescribed in Article 62-2(1) (Issuance of Short-Term Norinchukin Bank Debentures) of the Norinchukin Bank Act (Act No. 93 of 2001); and
","七　農林中央金庫法（平成十三年法律第九十三号）第六十二条の二第一項（短期農林債の発行）に規定する短期農林債
"
debit,借り方,ˈdɛbɪt,"(簿記で)借り方,借り方記入 
(ある金額を)…‘の'借り方に記入する《+『名』+『with』+『名』〈=額〉》 
(相手に)〈金額〉'を'借り方として記入する《+『名』〈金額〉+『against』+『名』》",Debit Mr Hill with $100.,１００ドルをヒル氏の借り方に記載しなさい。
debtor,債務者,ˈdɛtər,"債務者,借り主 
借り方(《略》Dr.,dr.)","'In the Borough High Street, near St.  George's Church, and on the same side of the way, stands, as most people know, the smallest of our debtors' prisons, the Marshalsea. 
","自治 区 大通り の 聖 ジョージ 教会 と 同じ 並び に 、 たいてい の 人 が 知っ て いる とおり 、 いちばん 小さな 債務 者 監獄 、 マーシャルシー 監獄 が ある 。
"
decent,"満足できる,立派な；相当な；まずまずの；親切な,上品な；きちんとした,まともな",ˈdisənt,"(社会・道徳的な規範にかなって)『きちんとした』,ふさわしい 
《話》『かなりよい』,まあまあの,そう悪くない 
《話》《補語にのみ用いて》親切な,寛大な",She is quite decent in conduct.,彼女は行儀が極めて上品である。
decentralize,分散する；分権する,dɪˈsɛntrəˌlaɪz,"〈行政〉‘の'中央集権化を避ける,〈産業・人口など〉'を'分散させる",a decentralized and localized political authority,分散して局地化された政治権力
decimal,小数,ˈdɛsəməl,"小数の 
十進法の 
小数",In 1971 the United Kingdom changed its currency to the decimal system.,英国は、１９７１年にその貨幣制度を１０進法に移行させた。
declaration,宣言,ˌdɛkləˈreɪʃən,"〈U〉(…の)『宣言』,発表,布告《+『of』+『名』》 
〈C〉申告書 
〈C〉供述",Please fill out the Customs Declaration Form.,税関申告書に記入してください。
decree,"法令, 命令, 布告；判決；神意；法令で定める；命じる；判決を下す",dɪˈkri,"法令,布告 
(裁判所の)判決,命令 
…'を'布告する 
《『decree』+『that』》(決まりに称って)…'を'命令する 
〈法廷・裁判官が〉…'を'宣告する,判決する",The court decreed that she should pay the fine.,裁判所は彼女に罰金を支払うように命じた。
deduct,差し引く；控除する,dɪˈdʌkt,"(総計・総額から)…'を'差し引く,控除する《+『名』+『from』+『名』》",The following amount will be deducted from the per income levy:,次の額を所得割の額から控除する
deductible,課税控除の対象になる,dɪˈdʌktəbəl,"差し引くことができる,控除できる",deductible losses on sales or exchanges of property are allowable,販売活動や財産の交換での損失を控除できるのは不当ではない
